Mission ID,Mission Name,Launch Date,Target Type,Target Name,Mission Type,Distance from Earth (light-years),Mission Duration (years),Mission Cost (billion USD),Scientific Yield (points),Crew Size,Mission Success (%),Fuel Consumption (tons),Payload Weight (tons),Launch Vehicle
MSN-0401,Mission-401,01-09-2032,Asteroid,Betelgeuse,Mining,27.81,17.4,455.33,53.3,21,100,2778.63,83.81,Ariane 6
MSN-0402,Mission-402,08-09-2032,Exoplanet,Io,Research,35.99,21.8,282.66,69.6,61,100,3519.89,55.34,Starship
MSN-0403,Mission-403,15-09-2032,Planet,Titan,Research,11.5,9.6,130.18,20.7,63,83.9,1102.98,19.73,Ariane 6
MSN-0404,Mission-404,22-09-2032,Exoplanet,Europa,Research,49.82,26.1,380.05,36,52,100,4953.96,72.32,Ariane 6
MSN-0405,Mission-405,29-09-2032,Star,Proxima b,Exploration,48.74,28.8,297.66,45.8,88,99.3,4772.19,51.6,Ariane 6
MSN-0406,Mission-406,06-10-2032,Exoplanet,Europa,Mining,32.55,19.1,316.6,92.8,25,97.4,3257.37,60.83,SLS
MSN-0407,Mission-407,13-10-2032,Planet,Titan,Colonization,10.06,7.1,265.47,99.4,55,100,993.55,46.63,Falcon Heavy
MSN-0408,Mission-408,20-10-2032,Star,Ceres,Exploration,34.04,19,427.75,14,46,100,3320.36,83.04,Starship
MSN-0409,Mission-409,27-10-2032,Exoplanet,Ceres,Research,3.7,4.8,451.62,78.5,32,100,390.21,83.13,SLS
MSN-0410,Mission-410,03-11-2032,Star,Io,Exploration,1.63,5.4,399.96,43.5,55,100,198.79,71.23,Starship
MSN-0411,Mission-411,10-11-2032,Moon,Ceres,Research,12.96,9,64.36,45.3,96,73.4,1307.35,11.43,Starship
MSN-0412,Mission-412,17-11-2032,Moon,Io,Research,23.18,15.6,463.71,77.9,5,100,2301.8,84.05,Starship
MSN-0413,Mission-413,24-11-2032,Exoplanet,Io,Exploration,43.43,23.1,367.24,92.7,36,100,4372.57,67.43,SLS
MSN-0414,Mission-414,01-12-2032,Star,Titan,Mining,36.39,21.1,357.28,95.6,49,100,3673.01,70.01,Falcon Heavy
MSN-0415,Mission-415,08-12-2032,Planet,Ceres,Research,37.16,23.5,206.65,61.9,58,85.8,3731.37,36.94,Starship
MSN-0416,Mission-416,15-12-2032,Exoplanet,Io,Mining,21.33,14.7,449.13,42.1,39,100,2091.77,88.05,Falcon Heavy
MSN-0417,Mission-417,22-12-2032,Moon,Betelgeuse,Colonization,17.36,10.5,399.37,80.9,80,100,1749.83,72.81,Falcon Heavy
MSN-0418,Mission-418,29-12-2032,Moon,Proxima b,Research,18.61,12.3,98.93,32.6,97,72.5,1920.77,12.15,Ariane 6
MSN-0419,Mission-419,05-01-2033,Exoplanet,Europa,Mining,49.38,26.6,213.03,60.8,85,87.2,4908.17,41.37,SLS
MSN-0420,Mission-420,12-01-2033,Star,Europa,Mining,2.1,3.7,469.55,42.3,61,100,314.9,88.75,SLS
MSN-0421,Mission-421,19-01-2033,Moon,Titan,Colonization,43.36,25.8,69.27,69.1,9,74.9,4309.72,5.67,Ariane 6
MSN-0422,Mission-422,26-01-2033,Star,Ceres,Mining,28.98,18.6,527.77,31.6,6,100,2899.62,96.18,Ariane 6
MSN-0423,Mission-423,02-02-2033,Moon,Ceres,Mining,21.99,12.9,367.36,27.2,35,98.6,2165.38,68.24,Falcon Heavy
MSN-0424,Mission-424,09-02-2033,Moon,Io,Colonization,36.29,22.8,365.11,92.6,39,100,3640.16,63.51,Starship
MSN-0425,Mission-425,16-02-2033,Asteroid,Mars,Research,24.38,15.6,166.2,19.2,22,92.9,2350.89,27.79,SLS
MSN-0426,Mission-426,23-02-2033,Moon,Io,Mining,43.68,24.4,148.47,55.5,41,81,4340.7,25.63,Starship
MSN-0427,Mission-427,02-03-2033,Planet,Proxima b,Mining,45.05,25.5,513.86,29.9,5,100,4450.39,94.26,Starship
MSN-0428,Mission-428,09-03-2033,Exoplanet,Betelgeuse,Mining,21.14,14,177.81,13.5,42,89.9,2120.77,30.53,Ariane 6
MSN-0429,Mission-429,16-03-2033,Exoplanet,Europa,Exploration,13.91,10.2,413.02,13.2,87,100,1440.72,77.78,Starship
MSN-0430,Mission-430,23-03-2033,Star,Io,Colonization,29.66,17.8,224.63,25.8,81,88.4,2998.3,39.92,Falcon Heavy
MSN-0431,Mission-431,30-03-2033,Moon,Mars,Exploration,45.63,25.8,116.44,88,76,87.1,4444.42,14.79,Ariane 6
MSN-0432,Mission-432,06-04-2033,Planet,Mars,Colonization,10.61,7,52.07,35.4,87,72.5,1163.1,2.06,Starship
MSN-0433,Mission-433,13-04-2033,Star,Io,Research,31.19,19.8,295.17,95.5,80,92.8,3133.76,54.88,Ariane 6
MSN-0434,Mission-434,20-04-2033,Asteroid,Titan,Research,31.61,19,505.33,62.3,67,100,3122.18,97.6,Falcon Heavy
MSN-0435,Mission-435,27-04-2033,Star,Europa,Mining,36.68,19.9,212.8,49.3,30,97.7,3675.86,37.54,Falcon Heavy
MSN-0436,Mission-436,04-05-2033,Star,Titan,Colonization,6.67,7.4,210.87,62.2,57,100,675.81,36.36,Starship
MSN-0437,Mission-437,11-05-2033,Moon,Betelgeuse,Research,35.82,22.6,188.03,56.5,86,82.8,3548.66,35.07,Ariane 6
MSN-0438,Mission-438,18-05-2033,Asteroid,Mars,Colonization,45.46,27.5,302.55,78.3,73,100,4555.9,52.53,Starship
MSN-0439,Mission-439,25-05-2033,Star,Mars,Research,9.07,7,247.99,35.4,29,92.7,876.63,44.63,Starship
MSN-0440,Mission-440,01-06-2033,Planet,Proxima b,Exploration,11.95,7.5,457.92,41.8,37,100,1174.78,88.11,Ariane 6
MSN-0441,Mission-441,08-06-2033,Planet,Betelgeuse,Research,48.57,27.4,261.48,90.5,87,88.8,4822.69,51.05,Starship
MSN-0442,Mission-442,15-06-2033,Exoplanet,Mars,Exploration,9.13,6,269.05,95.2,13,90.6,841.37,51.27,Falcon Heavy
MSN-0443,Mission-443,22-06-2033,Asteroid,Betelgeuse,Research,42.73,26.1,121.01,90.3,32,78.2,4280.29,14.7,Ariane 6
MSN-0444,Mission-444,29-06-2033,Asteroid,Europa,Mining,24.66,14.1,507.4,47.8,46,100,2495.26,98.29,Ariane 6
MSN-0445,Mission-445,06-07-2033,Exoplanet,Ceres,Exploration,12.44,8.2,138.02,80.2,23,80.6,1269.74,25.75,Ariane 6
MSN-0446,Mission-446,13-07-2033,Star,Mars,Research,43.55,24.4,64.87,52.9,45,79.8,4396,8.26,Ariane 6
MSN-0447,Mission-447,20-07-2033,Asteroid,Proxima b,Mining,22.32,13.7,349.3,54.8,17,100,2248.22,66.65,Starship
MSN-0448,Mission-448,27-07-2033,Planet,Europa,Exploration,25.79,17.1,302.42,28.4,85,100,2552.36,59.94,Starship
MSN-0449,Mission-449,03-08-2033,Planet,Io,Mining,18.03,11.8,227.33,63.2,66,100,1844.98,42.1,Falcon Heavy
MSN-0450,Mission-450,10-08-2033,Moon,Betelgeuse,Colonization,29.69,16.5,241.66,26.8,6,96.2,2901.12,42.8,SLS
MSN-0451,Mission-451,17-08-2033,Asteroid,Io,Colonization,8.26,6.2,421.63,39.8,18,100,780.97,78.72,SLS
MSN-0452,Mission-452,24-08-2033,Star,Titan,Exploration,19.61,12.8,120.37,87,94,88.9,1912.79,20.38,Falcon Heavy
MSN-0453,Mission-453,31-08-2033,Exoplanet,Europa,Research,48.47,25.8,433.97,28.6,22,100,4901,82.21,SLS
MSN-0454,Mission-454,07-09-2033,Exoplanet,Io,Exploration,12.98,9.9,374.46,16.4,33,100,1345.14,65.23,Falcon Heavy
MSN-0455,Mission-455,14-09-2033,Star,Mars,Mining,32.87,19.7,231.89,16.2,30,100,3311.37,42.48,Starship
MSN-0456,Mission-456,21-09-2033,Moon,Betelgeuse,Research,16.33,12,245.35,94.7,81,96.8,1686.6,46.34,Ariane 6
MSN-0457,Mission-457,28-09-2033,Exoplanet,Ceres,Colonization,38.7,24.1,144.98,55.6,32,77,3826.04,26.41,Ariane 6
MSN-0458,Mission-458,05-10-2033,Asteroid,Europa,Research,6.63,8,400.73,46.8,42,100,680.43,75.46,Starship
MSN-0459,Mission-459,12-10-2033,Moon,Mars,Colonization,48.49,29,297.07,83,78,100,4842.74,51.77,Ariane 6
MSN-0460,Mission-460,19-10-2033,Asteroid,Proxima b,Research,22.74,13.3,174.89,85.2,10,86.6,2316.34,32.76,Ariane 6
MSN-0461,Mission-461,26-10-2033,Planet,Titan,Research,11.88,7.5,335.81,39.9,36,100,1182.24,60.01,SLS
MSN-0462,Mission-462,02-11-2033,Moon,Betelgeuse,Research,3.77,4.1,499.94,72.4,34,100,357.75,99.58,Starship
MSN-0463,Mission-463,09-11-2033,Exoplanet,Europa,Mining,8.57,8.9,241.98,79.4,73,97.7,884.05,44.09,SLS
MSN-0464,Mission-464,16-11-2033,Moon,Europa,Mining,26.04,17.9,499.77,68.9,28,100,2647.81,92.15,SLS
MSN-0465,Mission-465,23-11-2033,Moon,Ceres,Exploration,16.92,12.9,193.4,23.6,11,88.3,1658.58,35.16,Ariane 6
MSN-0466,Mission-466,30-11-2033,Moon,Ceres,Exploration,41.46,22.2,60.72,88.8,78,74.5,4142.95,6.42,Ariane 6
MSN-0467,Mission-467,07-12-2033,Moon,Proxima b,Colonization,21.6,15.6,117.14,58.5,39,86,2107.08,21.22,Starship
MSN-0468,Mission-468,14-12-2033,Asteroid,Titan,Mining,12.51,8.9,249.61,35.4,47,97.7,1126.1,42.45,Ariane 6
MSN-0469,Mission-469,21-12-2033,Planet,Proxima b,Colonization,30.9,16.5,117.26,48.3,19,80.4,3100.02,22.74,Ariane 6
MSN-0470,Mission-470,28-12-2033,Star,Mars,Exploration,35.37,20.5,47.87,13.4,15,80.2,3567.45,1.02,Starship
MSN-0471,Mission-471,04-01-2034,Moon,Mars,Colonization,8.44,5.4,468.66,21.5,28,100,857.1,91.59,Ariane 6
MSN-0472,Mission-472,11-01-2034,Exoplanet,Proxima b,Exploration,8.46,7.4,466.55,78.9,24,100,748.52,84.54,SLS
MSN-0473,Mission-473,18-01-2034,Moon,Titan,Mining,1.93,3.3,390.72,10,72,100,175.46,74.49,Starship
MSN-0474,Mission-474,25-01-2034,Exoplanet,Proxima b,Research,36.85,21.3,124.46,47.5,9,77.6,3574.08,17.61,Ariane 6
MSN-0475,Mission-475,01-02-2034,Asteroid,Titan,Mining,33.22,20.1,81.24,57,47,76.8,3390.49,12.92,Falcon Heavy
MSN-0476,Mission-476,08-02-2034,Exoplanet,Titan,Colonization,23.78,16.4,83.84,14.9,33,84.6,2323.7,7.69,Starship
MSN-0477,Mission-477,15-02-2034,Star,Io,Colonization,42.22,24.8,370.61,97.6,62,100,4284.77,72.68,Starship
MSN-0478,Mission-478,22-02-2034,Planet,Betelgeuse,Mining,40.3,22.9,474.5,30.4,97,100,4077.29,92.95,Falcon Heavy
MSN-0479,Mission-479,01-03-2034,Exoplanet,Titan,Mining,29.31,18.9,243.26,37.4,19,91,2885.97,43.62,Ariane 6
MSN-0480,Mission-480,08-03-2034,Exoplanet,Ceres,Exploration,43.43,26.3,68.96,37.4,67,75.6,4286.36,12.79,Ariane 6
MSN-0481,Mission-481,15-03-2034,Planet,Titan,Colonization,10.37,6.7,269.25,30.7,74,89.4,1054.52,51.73,Starship
MSN-0482,Mission-482,22-03-2034,Star,Titan,Colonization,5.68,6,224.89,10.1,40,91.4,525.78,35.53,Starship
MSN-0483,Mission-483,29-03-2034,Moon,Titan,Mining,13.56,8.9,239.4,75.6,47,93,1361.12,38.11,Ariane 6
MSN-0484,Mission-484,05-04-2034,Exoplanet,Io,Research,2.95,2.7,331.99,97,65,100,270.86,62.51,Ariane 6
MSN-0485,Mission-485,12-04-2034,Planet,Io,Colonization,26.61,17,406.99,30.2,29,100,2571.94,72.15,SLS
MSN-0486,Mission-486,19-04-2034,Asteroid,Mars,Research,46.84,27.9,87.45,69.7,50,72.8,4572.48,11.95,Starship
MSN-0487,Mission-487,26-04-2034,Planet,Io,Mining,2.06,2.7,36.82,76.8,98,79.1,217.33,4.52,Starship
MSN-0488,Mission-488,03-05-2034,Asteroid,Ceres,Mining,6.19,7.3,532.62,86.4,13,100,590.92,99.44,Falcon Heavy
MSN-0489,Mission-489,10-05-2034,Star,Ceres,Exploration,22.66,15.7,153.49,48,1,86.3,2238.35,24.04,SLS
MSN-0490,Mission-490,17-05-2034,Moon,Io,Colonization,46.7,28,81.12,37.3,34,78.1,4704.79,6.33,Ariane 6
MSN-0491,Mission-491,24-05-2034,Planet,Proxima b,Research,15.88,10,112.99,39.3,93,78.7,1646.67,19.8,SLS
MSN-0492,Mission-492,31-05-2034,Exoplanet,Betelgeuse,Exploration,25.41,17.3,58.23,74.1,48,76.9,2527.37,4.86,Ariane 6
MSN-0493,Mission-493,07-06-2034,Star,Io,Colonization,2.17,3.4,202.5,83.5,77,92.6,199.97,39.79,Ariane 6
MSN-0494,Mission-494,14-06-2034,Planet,Titan,Exploration,7.5,7,408.77,26.3,48,100,775.01,80.44,SLS
MSN-0495,Mission-495,21-06-2034,Exoplanet,Europa,Mining,49.33,25.9,175.09,43.4,49,84.8,4865.15,34.78,Starship
MSN-0496,Mission-496,28-06-2034,Planet,Betelgeuse,Colonization,48.26,25.3,274.82,91.2,64,96.2,4837.16,44.97,Ariane 6
MSN-0497,Mission-497,05-07-2034,Asteroid,Betelgeuse,Exploration,0.35,4.1,379.71,82.6,61,100,62.59,67.88,SLS
MSN-0498,Mission-498,12-07-2034,Planet,Ceres,Exploration,47.6,26.6,296.45,98.6,29,100,4794.01,51.38,Falcon Heavy
MSN-0499,Mission-499,19-07-2034,Planet,Betelgeuse,Research,31.99,18,457.38,77.9,39,100,3102.16,86.28,SLS
MSN-0500,Mission-500,26-07-2034,Planet,Io,Exploration,43.41,23.5,449.4,45.4,88,100,4302.93,86.74,Falcon Heavy
